algorithm_type = PMPSO
robot_id = 3
max counter = 25
change counter = 10
20201211121
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-0.987341	4.59294	-0.578321	0.401426	1606792642.200172428	50.04	0.0694	-0.328738	0	0	0	0	0	0	0
2	-0.689441	4.38494	-0.578321	0.0698132	1606792656.200174522	49.92	0.05	-0.463102	0	0	0	0	0	0	0
3	-0.39416	4.18024	-0.578321	0.0698132	1606792669.900174658	51	0.05	-0.429924	0	0	0	0	0	0	0
4	-0.0799439	3.97491	-0.578321	-0.10472	1606792681.000179265	51	0.14	-0.797123	0	0	0	0	0	0	0
5	0.216259	3.76084	-0.578321	1.72788	1606792691.400181532	51	0.05	1.30111	0	0	0	0	0	0	0
6	0.512926	3.55849	-0.578321	0.0174533	1606792702.100173597	51	0.12	-0.422102	0	0	0	0	0	0	0
7	0.821204	3.35771	-0.578321	-0	1606792713.800145842	46.68	0.14	-0.646744	0	0	0	0	0	0	0
8	1.12253	3.15209	-0.578321	0.122173	1606792726.200173637	51.8	0.06	-0.403554	0	0	0	0	0	0	0
9	1.42437	2.94326	-0.578321	-2.84489	1606792736.900188001	43	0.06	-3.52107	0	0	0	0	0	0	0
10	1.0803	2.74362	-2.56327	-0.10472	1606792753.800175574	56.66	0.11	-2.55111	-0.332268	-0.222706	-0.0579126	1.03545	2	10	194.76
11	0.846558	2.4614	-2.20157	-2.67035	1606792770.500190591	302.9	0.05	-4.83995	-0.0250666	0.198423	0.313388	0.951348	2	11	436.3
12	0.705082	2.12142	-1.93774	-3.07178	1606792782.400189087	230.44	0.05	-4.94078	-0.193717	-0.049738	0.685095	1.07323	2	12	616.56
13	0.668098	1.74112	-1.62489	2.32129	1606792794.700189331	204.16	0.06	0.734833	-0.145794	-0.136909	0.685095	1.07323	2	12	616.56
14	0.739992	1.94375	-1.92805	-0.0349066	1606792812.500171622	977.64	0.18	1.13159	0.170088	0.362036	0.739992	1.94375	3	14	977.64
15	0.957227	2.23033	0.961206	1.43117	1606792830.800175068	729.48	0.05	3.53718	0.2	0	0.739992	1.94375	3	14	977.64
16	1.17442	2.31157	0.281322	-0.0698132	1606792843.500172468	504.1	0.06	0.185501	-0.185955	-0.0736249	0.739992	1.94375	3	14	977.64
17	1.12121	2.20315	-2.29691	1.8675	1606792861.100173147	578.4	0.06	-0.212809	-0.185955	0.0736249	0.949994	1.6122	2	17	1067.14
18	1.18985	2.37047	-1.98808	0.191986	1606792879.000188278	840.56	0.09	1.29131	0.110345	0.384479	0.949994	1.6122	2	17	1067.14
19	1.0448	2.01816	-1.93533	-2.40855	1606792896.200175468	580.72	0.056	-4.30598	-0.0736249	-0.185955	0.949994	1.6122	2	17	1067.14
20	1.17371	2.17143	-2.14638	0.0349066	1606792913.300171974	839	0.11	1.05423	0.197559	0.347808	0.949994	1.6122	2	17	1067.14
21	1.2716	2.3136	-2.23731	-0.261799	1606792930.700191103	541.76	0.12	0.516544	0.347813	0.197551	0.949994	1.6122	2	17	1067.14
22	1.17129	2.27713	-2.44782	-0.261799	1606792947.600179904	452.62	0.12	-3.01417	-0.396757	-0.0508305	0.949994	1.6122	2	17	1067.14
23	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
