algorithm_type = PMPSO
robot_id = 2
max counter = 25
change counter = 10
20201211121
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-1.55568	3.95645	-1.06604	0	1606792608.139065192	46.02	0	-1.06604	0	0	0	0	0	0	0
2	-1.39808	3.63332	-1.06604	0	1606792620.039045466	41	0	-1.01	0	0	0	0	0	0	0
3	-1.23982	3.30285	-1.06604	0	1606792632.939008983	46.7	0	-0.995669	0	0	0	0	0	0	0
4	-1.06612	2.989	-1.06604	0	1606792643.939065553	41.3	0	-0.989526	0	0	0	0	0	0	0
5	-0.90625	2.66799	-1.06604	0	1606792655.339081341	40.82	0	-0.914384	0	0	0	0	0	0	0
6	-0.72899	2.34157	-1.06604	0	1606792665.839074194	47	0	-1.11323	0	0	0	0	0	0	0
7	-0.569169	2.01219	-1.06604	0	1606792677.539063186	45.4	0	-1.02837	0	0	0	0	0	0	0
8	-0.408723	1.68721	-1.06604	0	1606792689.939072632	40	0	-1.0297	0	0	0	0	0	0	0
9	-0.22932	1.36176	-1.06604	0	1606792700.439046776	49.24	0	-1.09608	0	0	0	0	0	0	0
10	-0.0579126	1.03545	-1.06604	0	1606792717.639063816	194.76	0	-1.03749	0.127485	0.154103	-0.0579126	1.03545	2	10	194.76
11	0.313388	0.951348	-0.214948	0	1606792734.039046686	436.3	0	-0.193045	0.0736249	-0.185955	0.313388	0.951348	2	11	436.3
12	0.685095	1.07323	0.35643	0	1606792745.239042644	616.56	0	0.387476	-0.161803	-0.117557	0.685095	1.07323	2	12	616.56
13	1.00397	1.27035	0.58815	0	1606792758.639049373	480.68	0	0.63815	0.127485	-0.154103	0.685095	1.07323	2	12	616.56
14	0.678534	1.1073	-2.63553	0	1606792776.439063808	737.3	0	-2.7326	0.0736249	0.185955	0.739992	1.94375	3	14	977.64
15	0.817876	1.46135	1.24948	0	1606792793.839042879	648.16	0	1.28035	0.0125581	-0.199605	0.739992	1.94375	3	14	977.64
16	0.949258	1.80567	1.22961	0	1606792807.239047285	925.4	0	1.20873	0.190211	0.0618034	0.739992	1.94375	3	14	977.64
17	0.949994	1.6122	1.65956	0	1606792825.039043413	1067.14	0	-1.44919	-0.185955	-0.0736249	0.949994	1.6122	2	17	1067.14
18	0.742841	1.26653	-2.12519	0	1606792842.239063159	948.66	0	-2.17639	0.127485	0.154103	0.949994	1.6122	2	17	1067.14
19	0.549549	1.09811	-2.51088	0	1606792859.739074278	796.84	0	-2.23761	-0.180965	-0.0851559	0.949994	1.6122	2	17	1067.14
20	0.742807	1.40372	0.956815	0	1606792877.139062106	505.06	0	0.911731	-0.117557	-0.161803	0.949994	1.6122	2	17	1067.14
21	0.742807	1.40372	0.869205	0	1606792894.239046267	454.94	0	0.911731	-0.049738	0.193717	0.949994	1.6122	2	17	1067.14
22	1.01207	1.64629	0.786811	0	1606792911.539064119	260.24	0	0.811602	0.175261	-0.0963507	0.949994	1.6122	2	17	1067.14
23	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
