algorithm_type = PMPSO
robot_id = 1
max counter = 36
change counter = 25
20201211159
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-2.10945	3.51746	-1.4431	0	1606754827.819627741	50	0	-1.44309	0	0	0	0	0	0	0
2	-2.07965	3.15234	-1.4431	0	1606754839.419671477	50	0	-1.35748	0	0	0	0	0	0	0
3	-2.03634	2.78877	-1.4431	0	1606754851.819682456	50	0	-1.4783	0	0	0	0	0	0	0
4	-2.00218	2.41853	-1.4431	0	1606754863.719667980	50	0	-1.39811	0	0	0	0	0	0	0
5	-1.95848	2.06077	-1.4431	0	1606754876.619662474	50	0	-1.48863	0	0	0	0	0	0	0
6	-1.93468	1.68862	-1.4431	0	1606754888.319664119	50	0	-1.38198	0	0	0	0	0	0	0
7	-1.9022	1.32774	-1.4431	0	1606754899.719673825	50	0	-1.38372	0	0	0	0	0	0	0
8	-1.87839	0.949179	-1.4431	0	1606754911.719669556	50	0	-1.39296	0	0	0	0	0	0	0
9	-1.83632	0.592199	-1.4431	0	1606754924.219662661	50	0	-1.39422	0	0	0	0	0	0	0
10	-1.81633	0.222024	-1.4431	0	1606754938.519650135	50	0	-1.30656	0	0	0	0	0	0	0
11	-1.78538	-0.138014	-1.4431	0	1606754950.019635889	50	0	-1.32684	0	0	0	0	0	0	0
12	-1.76573	-0.51539	-1.4431	0	1606754961.819661880	50	0	-1.41277	0	0	0	0	0	0	0
13	-1.74977	-0.899601	-1.4431	0	1606754973.719688770	50	0	-1.38064	0	0	0	0	0	0	0
14	-1.72585	-1.29562	-1.4431	0	1606754985.419676813	50	0	-1.40449	0	0	0	0	0	0	0
15	-1.69713	-1.66268	-1.4431	0	1606754997.019659398	50	0	-1.36756	0	0	0	0	0	0	0
16	-1.64885	-2.0424	-1.4431	0	1606755009.719662554	50	0	-1.49725	-0.127485	0.154103	1.05425	-0.998114	2	16	250.28
17	-1.25341	-1.99485	0.117148	0	1606755026.519628059	50	0	0.0489694	0.161803	0.117557	1.15427	-1.35566	2	17	278.56
18	-0.88168	-1.90442	0.270531	0	1606755040.419634520	50	0	0.332474	-0.198423	-0.0250666	1.13371	-1.73888	2	18	320.5
19	-0.509242	-1.87924	0.0653211	0	1606755052.019680231	50	0	0.0550364	0.196457	0.0374763	1.13371	-1.73888	2	18	320.5
20	-0.835074	-2.03637	-2.71392	0	1606755066.919664864	50	0	-2.73337	0.190211	-0.0618034	1.25405	-1.7914	2	20	322.58
21	-0.460244	-1.9913	0.127277	0	1606755084.819628581	50	0	0.150251	0.168866	-0.107165	1.25405	-1.7914	2	20	322.58
22	-0.0799808	-1.91356	0.239414	0	1606755102.619672088	50	0	0.308487	0.0851559	-0.180965	1.25405	-1.7914	2	20	322.58
23	0.125314	-1.85218	0.3271	0	1606755112.919674708	50	0	0.310419	1.22465e-17	0.2	1.25405	-1.7914	2	20	322.58
24	0.176368	-2.22075	-1.4431	0	1606755127.819644740	50	0	-1.47036	1.22465e-17	0.2	1.14003	-2.4265	2	24	422.24
25	0.212987	-2.58123	-1.4431	0	1606755144.419682856	50	0	-1.39049	0.190211	0.0618034	1.32641	-2.10175	2	25	481.4
26	0.514125	-2.31655	0.742864	0	1606755160.819693693	50	0	0.76631	1.22465e-17	-0.2	1.32641	-2.10175	2	25	481.4
27	0.873124	-2.29891	0.0824906	0	1606755178.419685620	50	0	0.170119	-0.180965	0.0851559	1.32641	-2.10175	2	25	481.4
28	0.849719	-2.29486	1.63708	0	1606755195.519637466	50	0	-1.48916	0.127485	0.154103	1.06679	-1.82967	2	28	514.94
29	0.519239	-2.24016	2.99724	0	1606755213.319663897	50	0	2.94679	0.107165	-0.168866	1.06679	-1.82967	2	28	514.94
30	0.407173	-2.09891	2.05574	0	1606755231.119671098	50	0	2.01904	-0.193717	0.049738	1.06679	-1.82967	2	28	514.94
31	0.16851	-2.10685	0.100651	0	1606755248.419667415	50	0	-3.00839	-0.196457	0.0374763	1.27437	-1.62993	2	31	532.84
32	0.519186	-2.08935	0.103559	0	1606755265.319674943	50	0	0.800104	-0.180965	0.0851559	1.27437	-1.62993	2	31	532.84
33	0.554031	-2.2694	-1.77989	0	1606755282.719670554	50	0	-0.318357	-0.199605	0.0125581	1.27437	-1.62993	2	31	532.84
34	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
