algorithm_type = PMPSO
robot_id = 2
max counter = 28
change counter = 11
20201211137
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-1.50935	3.93138	-1.0449	0	1606793531.539061495	51.68	0	-1.0449	0	0	0	0	0	0	0
2	-1.33264	3.5815	-1.0449	0	1606793543.439072770	54.02	0	-1.00775	0	0	0	0	0	0	0
3	-1.16269	3.26047	-1.0449	0	1606793555.739043446	52	0	-0.99822	0	0	0	0	0	0	0
4	-0.984928	2.93089	-1.0449	0	1606793566.139063023	52	0	-0.996996	0	0	0	0	0	0	0
5	-0.810074	2.59775	-1.0449	0	1606793577.639045808	49	0	-0.994614	0	0	0	0	0	0	0
6	-0.638124	2.27323	-1.0449	0	1606793589.339067483	49	0	-0.986491	0	0	0	0	0	0	0
7	-0.459821	1.94025	-1.0449	0	1606793600.139059796	47.68	0	-1.00885	0	0	0	0	0	0	0
8	-0.281394	1.60732	-1.0449	0	1606793612.839061186	46	0	-1.01005	0	0	0	0	0	0	0
9	-0.100761	1.28076	-1.0449	0	1606793623.539043571	53	0	-0.993596	0	0	0	0	0	0	0
10	0.0778695	0.97043	-1.0449	0	1606793640.839063121	87.32	0	-1.08301	0	0	0	0	0	0	0
11	0.259983	0.652444	-1.0449	0	1606793658.139052490	169.6	0	-0.949825	0.127485	0.154103	0.259983	0.652444	2	11	169.6
12	0.178419	0.288529	-1.82674	0	1606793672.439059827	266.84	0	-1.87503	-0.161803	-0.117557	0.178419	0.288529	2	12	266.84
13	0.0242803	-0.0457633	-2.00685	0	1606793684.339075193	289	0	-2.09113	0.136909	0.145794	0.0242803	-0.0457633	2	13	289
14	-0.165777	-0.362627	-2.07518	0	1606793698.439063304	274	0	-2.02088	0.196457	0.0374763	0.0242803	-0.0457633	2	13	289
15	-0.465183	-0.578566	-2.53142	0	1606793711.939062890	279.4	0	-2.58211	-0.154103	0.127485	0.0242803	-0.0457633	2	13	289
16	-0.178358	-0.276558	0.903067	0	1606793729.639065763	327.82	0	1.53462	-0.107165	0.168866	-0.178358	-0.276558	2	16	327.82
17	0.0705122	-0.017513	0.808801	0	1606793747.539047717	436.74	0	0.783031	-0.193717	-0.049738	0.0705122	-0.017513	2	17	436.74
18	0.33601	0.222013	0.795926	0	1606793765.239044648	323.44	0	0.811778	0.2	0	0.0705122	-0.017513	2	17	436.74
19	0.0648578	-0.0794936	-2.37978	0	1606793782.439081455	331.78	0	-2.39137	0.0963507	-0.175261	0.0705122	-0.017513	2	17	436.74
20	0.289344	0.196091	0.927881	0	1606793799.439072603	378.28	0	0.97304	-0.168866	0.107165	0.0131709	0.829942	3	20	462.04
21	-0.0201069	-0.0129678	-2.55136	0	1606793815.839050548	234.06	0	-2.6053	-0.180965	0.0851559	0.0131709	0.829942	3	20	462.04
22	0.223621	-0.0633861	2.96069	0	1606793833.739079078	321.6	0	-0.146402	0.199605	0.0125581	0.0131709	0.829942	3	20	462.04
23	-0.0286268	0.208377	2.26999	0	1606793847.939069592	381.34	0	2.29823	-0.161803	-0.117557	0.0131709	0.829942	3	20	462.04
24	-0.275278	0.460086	2.35165	0	1606793865.539002341	183.36	0	2.32335	-0.145794	-0.136909	0.0131709	0.829942	3	20	462.04
25	-0.199053	0.818803	1.33127	0	1606793883.039050774	118.4	0	1.26285	0.136909	-0.145794	0.0131709	0.829942	3	20	462.04
26	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
