algorithm_type = PMPSO
robot_id = 2
max counter = 36
change counter = 25
20201211159
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-1.5354	3.96494	-1.05965	0	1606794721.039064749	44.66	0	-1.05965	0	0	0	0	0	0	0
2	-1.35982	3.62705	-1.05965	0	1606794732.639064620	47	0	-1.02402	0	0	0	0	0	0	0
3	-1.17097	3.27013	-1.05965	0	1606794744.139073036	50	0	-1.05876	0	0	0	0	0	0	0
4	-1.00543	2.9321	-1.05965	0	1606794756.139072272	47.54	0	-1.01989	0	0	0	0	0	0	0
5	-0.848822	2.60072	-1.05965	0	1606794768.939044364	50	0	-1.0183	0	0	0	0	0	0	0
6	-0.669225	2.27419	-1.05965	0	1606794780.539044687	50	0	-1.012	0	0	0	0	0	0	0
7	-0.495068	1.93811	-1.05965	0	1606794793.139044701	53.04	0	-1.00328	0	0	0	0	0	0	0
8	-0.331774	1.61272	-1.05965	0	1606794804.939064254	48	0	-1.01882	0	0	0	0	0	0	0
9	-0.160451	1.28093	-1.05965	0	1606794817.539047264	50.4	0	-1.0104	0	0	0	0	0	0	0
10	0.00888561	0.953033	-1.05965	0	1606794831.439051398	51	0	-1.01742	0	0	0	0	0	0	0
11	0.179625	0.625675	-1.05965	0	1606794842.839042970	53.64	0	-1.01583	0	0	0	0	0	0	0
12	0.358589	0.305624	-1.05965	0	1606794855.139051085	52	0	-1.10375	0	0	0	0	0	0	0
13	0.534209	-0.0297387	-1.05965	0	1606794866.839065036	56.08	0	-1.01285	0	0	0	0	0	0	0
14	0.698429	-0.349393	-1.05965	0	1606794878.639062786	68.5	0	-0.96898	0	0	0	0	0	0	0
15	0.878797	-0.677643	-1.05965	0	1606794890.439066727	123.06	0	-1.04294	0	0	0	0	0	0	0
16	1.05425	-0.998114	-1.05965	0	1606794902.039064555	250.28	0	-1.01901	0.127485	0.154103	1.05425	-0.998114	2	16	250.28
17	1.15427	-1.35566	-1.30581	0	1606794919.839063054	278.56	0	-1.34931	0.145794	0.136909	1.15427	-1.35566	2	17	278.56
18	1.13371	-1.73888	-1.73945	0	1606794932.839062676	320.5	0	-1.76567	0.0736249	-0.185955	1.13371	-1.73888	2	18	320.5
19	1.03963	-2.0853	-1.81715	0	1606794944.739046294	316.8	0	-1.79353	0.185955	0.0736249	1.13371	-1.73888	2	18	320.5
20	1.25405	-1.7914	0.986318	0	1606794960.139065425	322.58	0	0.96538	0.198423	0.0250666	1.25405	-1.7914	2	20	322.58
21	1.43293	-1.54342	0.954415	0	1606794977.839062130	161.86	0	0.968115	0.0618034	0.190211	1.25405	-1.7914	2	20	322.58
22	1.20652	-1.82904	-2.22932	0	1606794994.839063941	186.38	0	-2.1496	-0.0736249	0.185955	1.25405	-1.7914	2	20	322.58
23	0.963685	-2.09064	-2.29203	0	1606795005.739045343	282.1	0	-2.22867	0.175261	0.0963507	1.25405	-1.7914	2	20	322.58
24	1.14003	-2.4265	-1.05965	0	1606795020.539043778	422.24	0	-1.01244	0.196457	0.0374763	1.14003	-2.4265	2	24	422.24
25	1.32641	-2.10175	1.05965	0	1606795036.639045588	481.4	0	1.02509	-0.0851559	0.180965	1.32641	-2.10175	2	25	481.4
26	1.48065	-1.83655	1.07161	0	1606795054.139046851	428.4	0	1.06208	0.198423	-0.0250666	1.32641	-2.10175	2	25	481.4
27	1.24277	-1.8806	-3.00509	0	1606795070.739065526	384.1	0	-3.06776	0.0374763	-0.196457	1.32641	-2.10175	2	25	481.4
28	1.06679	-1.82967	0.185593	0	1606795087.939045938	514.94	0	2.90021	-0.196457	-0.0374763	1.06679	-1.82967	2	28	514.94
29	1.29018	-1.65611	0.898984	0	1606795106.039067670	390.52	0	-0.315332	-0.117557	0.161803	1.06679	-1.82967	2	28	514.94
30	1.00894	-1.92984	-2.39857	0	1606795123.439046001	403.8	0	-2.45434	0.0250666	0.198423	1.06679	-1.82967	2	28	514.94
31	1.27437	-1.62993	0.900993	0	1606795140.739062216	532.84	0	0.961358	0.199605	0.0125581	1.27437	-1.62993	2	31	532.84
32	1.53037	-1.34692	0.816143	0	1606795158.639050362	504.82	0	0.793287	-0.136909	0.145794	1.27437	-1.62993	2	31	532.84
33	1.26039	-1.06742	2.38898	0	1606795176.039048986	252.88	0	2.44234	0.2	0	1.27437	-1.62993	2	31	532.84
34	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
