algorithm_type = PMPSO
robot_id = 3
max counter = 36
change counter = 25
20201211159
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-0.97452	4.54328	-0.593143	-2.11185	1606794755.100171673	61.52	0.05	-2.70499	0	0	0	0	0	0	0
2	-0.683297	4.32482	-0.593143	-2.9147	1606794769.300171324	58.28	0.0518	-3.50496	0	0	0	0	0	0	0
3	-0.385602	4.11108	-0.593143	3.00197	1606794781.200170125	63.14	0.05	2.45759	0	0	0	0	0	0	0
4	-0.0896093	3.89756	-0.593143	1.39626	1606794793.100174047	64.32	0.0604	1.04224	0	0	0	0	0	0	0
5	0.210496	3.68093	-0.593143	1.43117	1606794806.100193303	55.66	0.05	0.872371	0	0	0	0	0	0	0
6	0.514487	3.47359	-0.593143	-1.58825	1606794817.500175018	61	0.0764	-3.29429	0	0	0	0	0	0	0
7	0.810956	3.26198	-0.593143	0.471239	1606794829.400193462	63.48	0.072	-0.378258	0	0	0	0	0	0	0
8	1.11269	3.06443	-0.593143	-2.72271	1606794841.400199621	58	0.068	1.24785	0	0	0	0	0	0	0
9	1.41013	2.86263	-0.593143	3.08923	1606794854.100172644	67.28	0.063	2.4974	0	0	0	0	0	0	0
10	1.1155	2.6523	-2.54845	-0.261799	1606794867.500204499	62	0.12	-2.82075	0	0	0	0	0	0	0
11	0.806369	2.4581	-2.54845	3.12414	1606794878.800194645	59	0.05	0.617635	0	0	0	0	0	0	0
12	0.500134	2.27004	-2.54845	2.46091	1606794891.600175291	56	0.06	0.0626396	0	0	0	0	0	0	0
13	0.185489	2.05754	-2.54845	0.0349066	1606794903.500189489	60.8	0.13	-2.53909	0	0	0	0	0	0	0
14	-0.126941	1.84443	-2.54845	0.10472	1606794915.300172318	62	0.11	-2.50673	0	0	0	0	0	0	0
15	-0.431372	1.64883	-2.54845	-3.00197	1606794926.800199940	59	0.079	-0.910848	0	0	0	0	0	0	0
16	-0.729497	1.44465	-2.54845	2.72271	1606794939.100170041	61.1	0.0564	-5.63976	0.0374763	0.196457	1.05425	-0.998114	2	16	250.28
17	-0.531762	1.12335	-0.960719	-0.10472	1606794956.200172842	55.3	0.051	-0.842759	-0.185955	-0.0736249	1.15427	-1.35566	2	17	278.56
18	-0.340385	0.804702	-0.987565	0.15708	1606794970.000183891	64.36	0.06	-0.688314	0.0736249	0.185955	1.13371	-1.73888	2	18	320.5
19	-0.200172	0.453369	-1.12864	2.84489	1606794981.000182106	61.42	0.07	1.7556	-0.0735001	0.393189	1.13371	-1.73888	2	18	320.5
20	-0.0716985	0.114162	-1.18314	2.1293	1606794996.600193820	61	0.05	0.931067	-0.168866	-0.107165	1.25405	-1.7914	2	20	322.58
21	0.20554	-0.144113	-0.72509	1.78024	1606795014.500189612	76	0.07	1.09988	0.181482	0.356461	1.25405	-1.7914	2	20	322.58
22	0.486214	-0.3942	-0.670259	1.46608	1606795032.000172978	111.36	0.07	0.829299	0.270157	0.294983	1.25405	-1.7914	2	20	322.58
23	0.779483	-0.617697	-0.638538	2.54818	1606795041.700173460	169.28	0.05	1.551	-0.107165	0.168866	1.25405	-1.7914	2	20	322.58
24	0.437198	-0.847537	-2.54845	-2.51327	1606795056.600193057	208.96	0.05	-4.94792	0.196457	-0.0374763	1.14003	-2.4265	2	24	422.24
25	0.136217	-1.05496	-2.54845	-1.37881	1606795073.600189906	313.24	0.076	-4.22012	-0.189052	0.352504	1.32641	-2.10175	2	25	481.4
26	0.488227	-1.2106	-0.377185	1.55334	1606795090.600193549	297	0.0636	1.27976	0.114778	0.383179	1.32641	-2.10175	2	25	481.4
27	0.831269	-1.3131	-0.280766	2.56563	1606795107.600613584	326	0.07	2.24451	-0.249558	0.312603	1.32641	-2.10175	2	25	481.4
28	1.16346	-1.46897	-0.426196	1.44862	1606795124.800173417	410.88	0.058	1.30049	0.190211	-0.0618034	1.06679	-1.82967	2	28	514.94
29	0.980608	-1.2541	-0.864324	-1.22173	1606795142.200190468	471.64	0.0712	2.99973	-0.395982	0.0565563	1.06679	-1.82967	2	28	514.94
30	0.781584	-1.56134	-2.11875	-2.44346	1606795160.600171599	208.62	0.06	-4.60705	-0.117557	0.161803	1.06679	-1.82967	2	28	514.94
31	0.604959	-1.63815	0.248683	-1.88496	1606795177.900193061	208.1	0.0604	-4.86653	0.0614116	0.395258	1.27437	-1.62993	2	31	532.84
32	0.433602	-1.69372	0.410097	-2.94961	1606795195.000193154	206.4	0.05	-5.65018	-0.154103	-0.127485	1.27437	-1.62993	2	31	532.84
33	0.387993	-1.67725	0.280214	-1.93732	1606795212.600191529	274.74	0.07	-5.25515	0.206602	0.342513	1.27437	-1.62993	2	31	532.84
34	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
