algorithm_type = PMPSO
robot_id = 1
max counter = 25
change counter = 10
20201211121
counter	x	y	robot_direction	local wind direction	time	PM25	wind_speed	wind_direction	v_wind_x	v_wind_y	go_x	go_y	go_client_num	go_counter	go_PM25	
0	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
1	-2.11347	3.54499	-1.45933	0	1606752714.919640454	36	0	-1.45932	0	0	0	0	0	0	0
2	-2.08364	3.17796	-1.45933	0	1606752727.219625818	36	0	-1.43285	0	0	0	0	0	0	0
3	-2.05321	2.81213	-1.45933	0	1606752740.719641490	39	0	-1.39536	0	0	0	0	0	0	0
4	-2.03474	2.45337	-1.45933	0	1606752751.719640421	38.76	0	-1.39153	0	0	0	0	0	0	0
5	-2.00722	2.09745	-1.45933	0	1606752762.619622246	36	0	-1.31579	0	0	0	0	0	0	0
6	-1.98068	1.74262	-1.45933	0	1606752773.219641302	36	0	-1.35228	0	0	0	0	0	0	0
7	-1.94636	1.38127	-1.45933	0	1606752784.119641326	36	0	-1.40175	0	0	0	0	0	0	0
8	-1.92679	1.01803	-1.45933	0	1606752797.119645138	39	0	-1.414	0	0	0	0	0	0	0
9	-1.88871	0.656822	-1.45933	0	1606752807.219641597	38.52	0	-1.51098	0	0	0	0	0	0	0
10	-1.86569	0.272613	-1.45933	0	1606752824.919594049	39.6	0	-1.44455	-0.127485	0.154103	-0.0579126	1.03545	2	10	194.76
11	-1.50145	0.34753	0.225116	0	1606752840.819640940	63.92	0	0.2953	-0.0374763	0.196457	0.313388	0.951348	2	11	436.3
12	-1.14892	0.456297	0.305422	0	1606752852.919624391	56.1	0	0.369389	0.190211	-0.0618034	0.685095	1.07323	2	12	616.56
13	-0.789026	0.528499	0.210594	0	1606752865.819630276	218.12	0	0.178342	-0.154103	0.127485	0.685095	1.07323	2	12	616.56
14	-0.444081	0.668046	0.412386	0	1606752883.719640953	417.64	0	0.482337	-0.107165	0.168866	0.739992	1.94375	3	14	977.64
15	-0.141457	0.856806	0.569624	0	1606752901.519626682	449.6	0	0.628361	0.049738	0.193717	0.739992	1.94375	3	14	977.64
16	0.106429	1.12953	0.830489	0	1606752914.419622805	413.6	0	0.886928	-0.168866	-0.107165	0.739992	1.94375	3	14	977.64
17	0.328959	1.43716	0.866678	0	1606752932.119623835	472.76	0	0.80591	0.0963507	-0.175261	0.949994	1.6122	2	17	1067.14
18	0.178742	1.42455	0.0438222	0	1606752949.119651427	429.28	0	-3.07452	-0.049738	-0.193717	0.949994	1.6122	2	17	1067.14
19	0.189406	1.06601	-1.49557	0	1606752966.419649898	302.84	0	-1.46852	0.127485	-0.154103	0.949994	1.6122	2	17	1067.14
20	0.0422304	0.972375	0.665172	0	1606752984.219624728	308.52	0	-2.36226	0.185955	-0.0736249	0.949994	1.6122	2	17	1067.14
21	0.286757	1.25509	0.815403	0	1606753001.019641867	303.1	0	0.683569	0.199605	-0.0125581	0.949994	1.6122	2	17	1067.14
22	0.120582	1.12448	0.592153	0	1606753018.819647086	192.2	0	-2.59539	-0.0618034	-0.190211	0.949994	1.6122	2	17	1067.14
23	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0.000000000	0	0	0	0	0	0	0	0	0	0
